アルジェリア
アンゴラ
ウガンダ
エジプト
エスワティニ
エチオピア
エリトリア
ガーナ
カーボベルデ
ガボン
カメルーン
ガンビア
ギニア
ギニアビサウ
ケニア
コートジボワール
コモロ
コンゴ共和国
コンゴ民主共和国
サントメ・プリンシペ
ザンビア
シエラレオネ
ジブチ
ジンバブエ
スーダン
セーシェル
赤道ギニア
セネガル
ソマリア
タンザニア
チャド
中央アフリカ
チュニジア
トーゴ
ナイジェリア
ナミビア
ニジェール
ブルキナファソ
ブルンジ
ベナン
ボツワナ
マダガスカル
マラウイ
マリ
南アフリカ
南スーダン
モザンビーク
モーリシャス
モーリタニア
モロッコ
リビア
リベリア
ルワンダ
レソト
