インド
インドネシア
カンボジア
シンガポール
スリランカ
タイ
韓国
中国
ネパール
パキスタン
バングラデシュ
東ティモール
フィリピン
ブータン
ブルネイ
ベトナム
マレーシア
ミャンマー
モルディブ
モンゴル
ラオス
北朝鮮
台湾
香港
マカオ
